full_id,direction,longitude,latitude
n9556547142,forward,13.5725623,52.4838328
n7898196681,forward,13.5583692,52.4065133
n8678010533,forward,13.4295522,52.5503755
n10287706666,backward,13.4133357,52.5029976
n5233789089,,13.2495535,52.5156533
n10690038001,forward,13.4125198,52.5627229
n9366059774,forward,13.5661385,52.439446
n9977472733,backward,13.5194747,52.5462469
n10725343822,,13.6241799,52.4471466
n610900925,backward,13.498676,52.5384278
n10032678646,forward,13.5082761,52.5492706
n10583447382,forward,13.4668029,52.5486814
n10288725206,forward,13.4242783,52.5136792
n9961957526,forward,13.5386695,52.5247297
n8908922211,backward,13.4086643,52.5538328
n11098693465,backward,13.5618841,52.4584218
n10564187483,forward,13.4794141,52.520974
n10276673745,backward,13.4374441,52.4849719
n10031695041,forward,13.4082184,52.5270424
n2845018922,,13.3606706,52.5236921
n11140209001,forward,13.3098868,52.5258815
n10290873632,backward,13.5083551,52.5754049
n11064319022,backward,13.3109334,52.4950992
n10576060036,forward,13.4486764,52.5525341
n5276335788,forward,-71.6235062,42.3555332
n9378333040,forward,13.5721098,52.5605018
n12154944876,,13.4359969,52.4490011
n10153888747,backward,13.5773381,52.486694
n10300455995,forward,13.2443431,52.5240859
n9669479947,backward,13.6344702,52.3872208
n10750965563,backward,13.4760496,52.6054701
n5731865253,forward,13.2652862,52.4934587
n10804686749,backward,13.6858199,52.4429597
n10172850118,backward,13.6068737,52.4896222
n10305072600,backward,13.597843,52.4524388
n10054939873,backward,13.5855141,52.505211
n10030761425,backward,13.4714186,52.5353381
n11072209895,backward,13.4558607,52.5167509
n10044413827,forward,13.4952589,52.550343
n9005001466,forward,13.2600155,52.5162744
n10657352523,backward,13.4762837,52.4828602
n9523334911,backward,13.4899355,52.6205556
n10213580207,backward,13.6190641,52.446167
n10587187151,,13.4135445,52.5506054
n11985430098,forward,13.4879069,52.6180185
n10536253203,forward,13.3443321,52.4674756
n11069850263,forward,13.4435359,52.4841182
n11286588585,forward,13.3936939,52.5264417
n8788765796,forward,13.5494197,52.5162404
n10813932546,backward,13.5079467,52.498603
n10772671239,forward,13.4976988,52.4159461
n11662686686,forward,13.3967301,52.5153563
n9613889416,backward,13.5870748,52.5117164
n10823787245,forward,13.6269272,52.5181238
n9365035845,forward,13.5636615,52.4377826
n10877086875,forward,13.5037179,52.4976265
n10281704439,backward,13.3575743,52.5358549
n10211700812,backward,13.5132296,52.447723
n9491274567,backward,13.4565463,52.4938037
n10569735796,forward,13.5231971,52.5846942
n10692452233,backward,13.3589068,52.4372565
n12052988000,backward,13.6981635,52.40453
n10558514568,backward,13.4871832,52.4756799
n10888908259,backward,13.3764774,52.45891
n10209504056,backward,13.4795102,52.4190831
n10173883066,backward,13.6096414,52.4781007
n268995809,forward,13.5533302,52.4681552
n9655624411,forward,13.5365481,52.4328244
n9546691044,forward,13.4537207,52.5914128
n11513817309,,13.3250184,52.6018709
n10554290228,backward,13.4685012,52.4953701
n10042284906,forward,13.4986516,52.5446679
n11451450484,backward,13.3088677,52.4874683
n10823787246,forward,13.6267451,52.5182141
n7007132036,backward,13.4545804,52.5418906
n1791456735,forward,13.4712439,52.5123839
n10554469889,backward,13.6919048,52.4412088
n9176492035,backward,13.4752462,52.5052931
n10765311662,forward,13.6241826,52.516331
n10536599773,forward,13.451403,52.5260996
n10542373390,forward,13.5077854,52.4749572
n1650836919,backward,13.70655,52.4340015
n10570129100,forward,13.4108377,52.5306192
n10065618831,forward,13.583777,52.514834
n10189126632,backward,13.4181222,52.5181173
n10213580212,backward,13.6167936,52.4466197
n10584468742,forward,13.4482779,52.5442961
n9429827776,forward,13.5598676,52.4826665
n9655624338,backward,13.5388136,52.4316052
n10888856446,backward,13.3762024,52.4576727
n10063055277,forward,13.5818867,52.5249885
n10055271177,forward,13.6120624,52.5112775
n10572334671,backward,13.3319073,52.5239898
n10596400422,backward,13.4050838,52.5545295
n10763706278,forward,13.405423,52.5293076
n10889595198,forward,13.3802694,52.5180599
n8613937936,forward,13.543462,52.5373846
n8909089018,backward,13.4197342,52.5529156
n10576069772,backward,13.4840475,52.5660372
n10738967623,backward,13.3794594,52.5225598
n8421956820,forward,13.5441365,52.544925
n4406799383,backward,13.3799219,52.5400849
n2459977282,forward,13.5530124,52.3994652
n10009488757,forward,13.5348109,52.4573723
n10316624889,forward,13.4022547,52.6021977
n10216179596,forward,13.4797223,52.4254683
n5759471880,forward,13.3535288,52.4886562
n2386319721,forward,13.5414289,52.5345956
n9490021171,forward,13.5968918,52.4370123
n9557889465,forward,13.5705294,52.3893234
n10222888810,backward,13.5056639,52.4186005
n10760508349,backward,13.4079365,52.5246018
n9508165197,,13.4290105,52.5791665
n10586041804,backward,13.4057336,52.5514121
n2951796217,backward,13.4232777,52.5201342
n9378333037,backward,13.5702373,52.555472
n8581158777,backward,13.4991322,52.5181692
n5915851926,backward,13.4532311,52.4948137
n8807132700,backward,13.458248,52.4332568
n10564187475,forward,13.477387,52.5201538
n4452240978,backward,13.5640622,52.5430275
n10830137926,backward,13.5863305,52.4256001
n10804114534,backward,13.6312944,52.4582596
n8512471863,backward,13.5907792,52.5452222
n11045700972,backward,13.1404166,52.4562349
n9566071385,backward,13.1971679,52.5554343
n260647421,forward,13.4557207,52.5224678
n10556297512,forward,13.7142953,52.4347604
n10030761426,forward,13.4711723,52.5356556
n3793837306,backward,13.3418813,52.5177756
n10134565144,backward,13.6184932,52.5314714
n10314876230,backward,13.4341897,52.5368016
n10884252619,backward,13.396254,52.5176235
n5194387377,backward,13.5693247,52.4113644
n9972401098,backward,13.5636592,52.5188767
n10554763754,backward,13.7137499,52.4321631
n10588754095,forward,13.423057,52.5511692
n10587598972,backward,13.3733528,52.5621872
n5552473606,forward,13.5087647,52.4060639
n9523225036,forward,13.4968976,52.6347837
n10811472935,backward,13.5160743,52.4882195
n10277265448,forward,13.4859512,52.5337806
n10284403516,backward,13.3719355,52.5089092
n8417038217,forward,13.5753012,52.5468397
n10154186329,forward,13.5701164,52.4851705
n11298160270,forward,13.4814908,52.4731016
n11210622431,,13.4346058,52.5357115
n10287674609,backward,13.4079075,52.504321
n10118862942,forward,13.4938684,52.5028269
n9964242841,backward,13.5492773,52.5313812
n10811472939,forward,13.5110626,52.4903442
n9650804371,backward,13.5629518,52.4013714
n6512193172,forward,13.4561798,52.4842982
n9295535241,backward,13.5352731,52.561382
n10666236066,forward,13.4543619,52.5491934
n9981414160,backward,13.5376063,52.533387
n11456410895,backward,13.504993,52.46589
n10042261458,backward,13.4963242,52.5429333
n10013439621,forward,13.4948137,52.5454721
n11400122282,,13.326346,52.5384769
n10586041800,backward,13.4036719,52.5515649
n9644845060,backward,13.5891474,52.5172883
n10833309643,forward,13.5490492,52.4383464
n9544315517,forward,13.501374,52.5596306
n10224910418,forward,13.3982109,52.4190929
n10223501973,forward,13.4354136,52.435317
n9967781336,backward,13.5476424,52.5429536
n10282081294,forward,13.3432182,52.5253959
n10564187478,forward,13.4772704,52.5203471
n11371397754,forward,13.4302981,52.5882529
n10829693277,backward,13.6062304,52.5199981
n10823586791,forward,13.623061,52.5121792
n10957815444,forward,13.3844664,52.5674378
n9378333039,forward,13.5754813,52.5580915
n10570079797,forward,13.4100786,52.5298876
n10536757540,backward,13.4520906,52.5205448
n292205798,,13.3305403,52.4960143
n10595463253,forward,13.4241964,52.5526503
n10684929353,backward,13.5076915,52.5031361
n10031695018,forward,13.4199384,52.5255008
n10813983416,forward,13.6659024,52.4138997
n9489645179,backward,13.5937165,52.4444203
n11043256246,backward,13.1465405,52.4556159
n10570474028,forward,13.4404105,52.5184481
n6297357579,backward,13.4359032,52.4172393
n672913003,backward,13.4572327,52.5246081
n10316096812,forward,13.4536447,52.5327786
n12154651295,backward,13.4374538,52.4483125
n10684929358,forward,13.504935,52.5091137
n10554044123,forward,13.6964124,52.4367126
n10554522381,backward,13.6994224,52.4359004
n11009719318,forward,13.5266151,52.4279465
n10203376369,forward,13.6021431,52.5361196
n10570256319,forward,13.4378289,52.5200922
n10578808966,forward,13.3822869,52.5272881
n10738967624,forward,13.3798189,52.5226162
n10981841469,forward,13.4562032,52.5483945
n11383103659,backward,13.4498872,52.4561547
n10542357602,backward,13.5180723,52.481227
n52762639,,13.4527665,52.5188508
n9544315503,forward,13.5018021,52.5581273
n9551021031,backward,13.4407989,52.614212
n10588156440,backward,13.5020857,52.4815931
n8904786980,forward,13.3928865,52.4891201
n10287240228,forward,13.3898,52.5121588
n10307971782,forward,13.4987902,52.5156865
n9938712798,backward,13.6196257,52.5394872
n10600514632,backward,13.4595201,52.5627091
n9509976587,forward,13.5695702,52.5608097
n9128862549,forward,13.4784293,52.6103772
n8618538414,backward,13.5573729,52.5467575
n9644845068,forward,13.5894411,52.5177348
n10042261440,forward,13.5005938,52.5469993
n10556297510,backward,13.7141622,52.4353638
n10216582943,backward,13.4918888,52.4293398
n8662312800,forward,13.5693593,52.4444027
n3324377431,forward,13.4297016,52.5234129
n2948017897,forward,13.4813814,52.4449986
n6441316317,forward,13.2253115,52.4209085
n10770334147,backward,13.4437677,52.530455
n12020227778,forward,13.4698904,52.6179847
n10314490705,backward,13.4314498,52.5344257
n10631184911,backward,13.4046487,52.5405201
n4406799378,forward,13.4088994,52.5283077
n9213060362,backward,13.1830096,52.4833488
n9966951904,backward,13.5659175,52.5189833
n10575978002,backward,13.4971243,52.5698102
n3430926388,,13.4305217,52.5249743
n261022486,,13.4733086,52.4815802
n10209854763,forward,13.4924365,52.4202793
n10570227073,forward,13.4364281,52.5173544
n11064314403,,13.3101435,52.4938193
n10225437034,forward,13.4379496,52.4174865
n10833313342,forward,13.552963,52.4395814
n11513817310,backward,13.324927,52.6020214
n10054939865,backward,13.5958042,52.5051559
n10217059250,backward,13.4882666,52.5125412
n10048937503,backward,13.4357032,52.4248755
n10554763748,forward,13.71344,52.4314367
n10536457992,forward,13.452017,52.5251098
n9852432961,forward,13.4289784,52.6027291
n8583532455,forward,13.5378506,52.527046
n9523225052,backward,13.49786,52.6283319
n9557889423,forward,13.5734713,52.4026556
n9977324600,backward,13.5113533,52.5462029
n10314740084,forward,13.4341455,52.5293396
n9488750028,forward,13.6296901,52.4254181
n9761475982,forward,13.5994478,52.5189835
n11324931057,backward,13.5024196,52.508814
n11379298353,forward,13.3591702,52.4201639
n12020227772,backward,13.4715783,52.6174416
n9557137649,forward,13.5753342,52.4890629
n10171767778,backward,13.619802,52.4970503
n11116536529,forward,13.6842363,52.3704386
n9644153162,forward,13.4326468,52.4869567
n11158230324,,13.2319899,52.5406348
n7850084118,backward,13.5342264,52.4330787
n8701377738,backward,13.4254613,52.5417124
n10046391578,forward,13.5039539,52.5743317
n11054101055,backward,13.1221231,52.4731729
n11116536536,forward,13.6568897,52.3746066
n5453718496,,13.2242332,52.4293982
n1828465548,forward,13.4444156,52.5771754
n10134610350,backward,13.6294245,52.5296039
n9981319239,forward,13.543641,52.5407311
n2266254740,backward,13.560005,52.4844158
n10062945634,forward,13.597222,52.5162161
n11133794069,forward,13.3294521,52.5237958
n11037524828,forward,13.4052605,52.5672937
n9748830377,forward,13.4074135,52.5738518
n7991486359,forward,13.4422216,52.4885926
n10055376466,backward,13.6130778,52.5086499
n2290016533,forward,13.3552679,52.51967
n9838492382,forward,13.5427955,52.4360685
n7124682490,,13.366082,52.5745821
n9965366269,forward,13.564592,52.5428726
n9965947251,forward,13.5497642,52.5339205
n9896508302,forward,13.4711437,52.615513
n10314184183,backward,13.4285879,52.5379767
n10556297450,forward,13.7204422,52.4385683
n10584468738,forward,13.4495421,52.5438298
n10770669501,forward,13.4098438,52.5385222
n10297285772,forward,13.4904754,52.5152303
n10877155939,forward,13.4998265,52.4988902
n10300455985,forward,13.2476934,52.5187943
n10882585378,forward,13.4374824,52.5004152
n11363668956,forward,13.4514284,52.510795
n300137051,backward,13.3359266,52.472374
n12064846151,forward,13.2848412,52.4548763
n10213735563,,13.5746377,52.4528523
n10747963947,backward,13.5002866,52.6328785
n10285472344,forward,13.3888935,52.5007313
n8525657766,forward,13.5586222,52.5317864
n9267109669,backward,13.3071891,52.6208561
n10781714577,backward,13.6058056,52.4785822
n10572825610,backward,13.4565419,52.5309783
n9662360685,forward,13.1941593,52.5458996
n11221868736,backward,13.3730915,52.5034637
n10281845826,forward,13.3453529,52.5300262
n11451639035,forward,13.3044473,52.4885255
n10031433579,backward,13.4252378,52.5298245
n9938988076,forward,13.6036248,52.5442656
n5548760610,forward,13.5624921,52.4142084
n9567431246,backward,13.577001,52.4954179
n10647827995,backward,13.5197149,52.578944
n9939783598,backward,13.5987968,52.5473153
n10678371419,forward,13.3376697,52.4508687
n6775266425,forward,13.6432372,52.5294937
n3519595094,forward,13.3814992,52.5049031
n9660639245,backward,13.5384336,52.434595
n9761475987,backward,13.6086847,52.5165019
n4406799373,backward,13.3876121,52.522366
n9544315516,forward,13.5016526,52.559482
n10182535280,forward,13.5186281,52.5095411
n10549072861,backward,13.5875372,52.4230902
n10030624962,forward,13.4054477,52.5296742
n10564302899,forward,13.2622785,52.5202927
n10585694933,forward,13.4138302,52.5521143
n10604075740,forward,13.4495746,52.5478796
n10202243939,forward,13.3461223,52.5449215
n10562341919,backward,13.4632885,52.5147059
n11384900801,backward,13.3701293,52.4631616
n11285463196,backward,13.5877365,52.5207424
n10056575155,forward,13.588551,52.4809379
n9969165753,backward,13.513062,52.5371279
n10287885364,forward,13.42231,52.5055468
n10994893963,forward,13.3924438,52.5725243
n10994893970,forward,13.3973473,52.5712347
n520447764,backward,13.3159629,52.4817108
n10217001971,backward,13.50249,52.461284
n8929834249,backward,13.5491503,52.528098
n10556297513,backward,13.7110855,52.4328371
n10600514693,backward,13.4620107,52.5647317
n10804326465,forward,13.6703383,52.4669638
n11187981701,forward,13.3187337,52.4789829
n9898678564,backward,13.6078434,52.5307534
n9961957524,forward,13.5371129,52.5329221
n11296686908,backward,13.5289893,52.4523484
n9935216850,backward,13.5961034,52.5440759
n8564619892,forward,13.5673844,52.5288954
n10889595172,backward,13.3804409,52.518917
n10564035981,backward,13.2989821,52.4905605
n10919446091,backward,13.4793566,52.4105416
n10055271189,forward,13.6105168,52.5089375
n10882705524,forward,13.4258254,52.4993282
n1828396583,forward,13.4476141,52.5685571
n554929542,backward,13.5201295,52.5326617
n9651878929,backward,13.5583093,52.4096269
n10281704440,forward,13.3565626,52.5357188
n9557889439,forward,13.5732059,52.3944077
n9650808228,forward,13.5680209,52.4030787
